Year,Large gas meters,Large electricity meters,Small gas meters,Small electricity meters,All gas meters,All electricity meters,Total
2012,1602.00,1707.00,,,1602.00,1707.00,3309.00
2013,121013.00,171369.00,,,121013.00,171369.00,292382.00
2014,189239.00,279688.00,,,189239.00,279688.00,468927.00
2015,504645.00,718369.00,137450.00,147508.00,642095.00,865877.00,1507972.00
2016,1264884.00,1648563.00,4693.00,6994.00,1269577.00,1655557.00,2925134.00
2017,1998670.00,2586215.00,72544.00,88565.00,2071214.00,2674780.00,4745994.00
2018,2054910.00,2668327.00,86950.00,107809.00,2141860.00,2776136.00,4917996.00
2019,1881085.00,2383830.00,55047.00,73718.00,1936132.00,2457548.00,4393680.00
2020,1280664.00,1674063.00,53886.00,80270.00,1334550.00,1754333.00,3088883.00
2021,1416938.00,2016512.00,85342.00,112758.00,1502280.00,2129270.00,3631550.00
2022,1045346.00,1478429.00,,,1045346.00,1478429.00,2523775.00
